"pcs" "RUC" "cs" "reves" "crevpp" "region" "habi" "Ahabi" "Atyph" "agecat" "Acompm" "nbpers" "enfants" "Anat" "Bauto" "Nbadulte" "Sinistre1" "Sinistre2" "Sinistre3" "Police1" "Police2" "Police3" "durPolice1" "Durée" "NSin" "censure" "Sinistre0"
"Retraites" 3235.294 "Modeste" 5500 "1er quartile" "1" "8" "Paris + Agglomeration" "Locataire" "61-96" "Autre menage" 2 "Pas d'enfants" "Menage francais" "Pas de vehicule" 2 0 0 0 6.72 0.65 0 1.17663048068178 118 0 0 15.5494174475532
"Retraites" 13750 "Aise" 13750 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "61-96" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 1 0 0 0 0.28 0 0 20.9473706638497 2095 0 1 18.2051268621156
"Ouvriers" 8088.235 "Moyenne Sup" 13750 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "21-40" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Pas de vehicule" 2 0 0 0 0 3.46 0.15 0 30 0 1 22.9391033572033
"Cadres et prof. intellectuelles sup." 16176.47 "Aise" 27500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "41-50" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 3.91 5.965 1.84 1.7 10.7283712221943 1073 3 1 19.9844708564531
"Professions intermediaires" 13235.29 "Aise" 22500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "21-40" "Couple sans enfant" 2 "Pas d'enfants" "Non declare" "Au - 1 vehicule" 2 0 0.4 0 2.645 6.725 1.68 7.15747797677629 716 9 1 20.8842776703224
"Employes" 9500 "Moyenne Sup" 9500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Non declare" "21-40" "Personne seule" 1 "Pas d'enfants" "Non declare" "Pas de vehicule" 1 0 0 0 0 1.635 1.641 0 30 0 1 15.3982040189045
"Professions intermediaires" 13750 "Aise" 13750 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "41-50" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Pas de vehicule" 1 0 0 1.57 0.2 0.55 1.795 23.9351111466204 2394 2 1 20.584117497195
"Cadres et prof. intellectuelles sup." 23529.41 "Aise" 40000 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "51-60" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Pas de vehicule" 2 0 0 0 0 0 0 0 30 0 1 24.0451480396107
"Professions intermediaires" 11250 "Aise" 11250 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "41-50" "Personne seule" 1 "Pas d'enfants" "Non declare" "Pas de vehicule" 1 0 0 0 0.3 0 0 16.4808742561746 1648 0 1 21.2644139281218
"Employes" 4687.5 "Moyenne Inf" 11250 "2eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "41-50" "Autre menage" 3 "Pas d'enfants" "Au moins une personne etrangere" "Au - 1 vehicule" 3 0 0 0 0.5 6.036 1.05 0.557390424064978 56 0 1 15.1974209831304
"Employes" 4435.484 "Moyenne Inf" 13750 "2eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "41-50" "Autre menage" 4 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 4 1.05 0 0.3 4.498 8.315 3.76 0.210307257684713 21 4 0 19.7091209248604
"Retraites" 3235.294 "Modeste" 5500 "1er quartile" "1" "8" "Paris + Agglomeration" "Locataire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Pas de vehicule" 2 0 0 1.16 4.55 6.515 0.15 1.17663048068178 118 3 0 16.1765606765365
"Employes" 3618.421 "Moyenne Inf" 13750 "1er quartile" "1" "8" "Paris + Agglomeration" "Locataire" "21-40" "Autre menage" 5 "Pas d'enfants" "Au moins une personne etrangere" "Pas de vehicule" 4 0 0 0 7.51 29.279 3.055 0.065335292738426 7 0 0 16.3224330774015
"Professions intermediaires" 9558.823 "Moyenne Sup" 16250 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "21-40" "Couple sans enfant" 2 "Pas d'enfants" "Non declare" "Pas de vehicule" 2 0 0 2.67 2.32 4.295 1.885 4.59809052197682 460 3 1 22.9241195164505
"Cadres et prof. intellectuelles sup." 32500 "Aise" 32500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "21-40" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Pas de vehicule" 1 0 0 0 0.225 0 0.34 195.570082302801 0 0 1 23.5021796943979
"Cadres et prof. intellectuelles sup." 13235.29 "Aise" 22500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "61-96" "Autre menage" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0.4 0 0 0.75 1.651 2.9 7.40008150527003 740 3 1 18.3641842549574
"Employes" 5113.636 "Moyenne Inf" 11250 "2eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "21-40" "Couple avec enfant(s)" 3 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 1.15 0 0 1.512 28.995 5.225 0.678970943802524 68 4 1 9.16735427322179
"Retraites" 5500 "Moyenne Inf" 5500 "3eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "61-96" "Personne seule" 1 "Pas d'enfants" "Non declare" "Pas de vehicule" 1 0 0 0 7.955 10.046 2.535 5.69012848673552 569 0 1 19.9943783012812
"Professions intermediaires" 5092.593 "Moyenne Inf" 13750 "2eme quartile" "2" "2" "Un. urb. de 2 000 a 9 999 hab." "Proprietaire" "21-40" "Couple avec enfant(s)" 4 "Au - 1 enfant" "Non declare" "Au - 1 vehicule" 2 0.415 0 0.3 10.055 10.555 1.732 0.233788956855187 23 10 1 7.57542297704324
"Autres pers. sans activite prof." 9166.667 "Moyenne Sup" 13750 "4eme quartile" "1" "8" "Paris + Agglomeration" "Non declare" "41-50" "Autre menage" 2 "Pas d'enfants" "Menage francais" "Pas de vehicule" 1 0.4 0 5.12 3.25 15.69 0.855 4.44341733545291 444 6 1 22.1594954643694
"Cadres et prof. intellectuelles sup." 13541.67 "Aise" 32500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "51-60" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 1.24 1.35 4.285 0.75 2.75189393552146 275 4 1 21.3132983421782
"Cadres et prof. intellectuelles sup." 6018.519 "Moyenne Inf" 16250 "3eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "21-40" "Couple avec enfant(s)" 4 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 3.98 3.83 15.535 1.82 0.277843802487079 28 5 1 10.7310653722624
"Professions intermediaires" 5603.448 "Moyenne Inf" 16250 "3eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "21-40" "Autre menage" 4 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 0.46 1.575 4.645 0.525 0.253736082771138 25 5 1 14.3863932549115
"Employes" 7500 "Moyenne Sup" 7500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "21-40" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Pas de vehicule" 1 0 0 0 3.97 13.255 2.285 8.6142517562954 861 0 1 17.4342472862975
"Professions intermediaires" 27500 "Aise" 27500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "41-50" "Personne seule" 1 "Pas d'enfants" "Au moins une personne etrangere" "Pas de vehicule" 1 6.72 0 0 0.2 0.4 0.75 211.531653788888 0 2 1 23.0770016488744
"Retraites" 19117.65 "Aise" 32500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0 6.225 4.85 6.99 15.521399388697 1552 0 1 23.0225358073047
"Professions intermediaires" 9500 "Moyenne Sup" 9500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "41-50" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Pas de vehicule" 1 0.5 0.3 0.69 0 4.065 0 0 30 6 1 18.0869287481077
"Professions intermediaires" 8870.968 "Moyenne Sup" 27500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "41-50" "Autre menage" 4 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 4 0.6 0 4.34 1.225 12.033 1.075 0.508068267663455 51 10 1 22.0449940892325
"Cadres et prof. intellectuelles sup." 8522.728 "Moyenne Sup" 18750 "4eme quartile" "9" "7" "Un. urb. de 100 000 hab. et +" "Locataire" "51-60" "Couple avec enfant(s)" 3 "Au - 1 enfant" "Non declare" "Au - 1 vehicule" 2 0 0 0 1.1 4.745 2.741 1.23444408991072 123 0 1 9.84362521143487
"Professions intermediaires" 2412.281 "Modeste" 13750 "1er quartile" "1" "8" "Paris + Agglomeration" "Locataire" "51-60" "Autre menage" 8 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 7 0.6 0 1.42 0.925 5.065 0.5 0.002071461763396 30 18 0 16.9855659047455
"Retraites" 8500 "Moyenne Sup" 8500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "61-96" "Personne seule" 1 "Pas d'enfants" "Non declare" "Pas de vehicule" 1 0 0 0 0.34 3.6 0.275 10.3796603168738 1038 0 1 16.4111207023989
"Professions intermediaires" 13235.29 "Aise" 22500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "21-40" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 1.43 3.45 11.455 0.6 7.15747797677629 716 3 1 19.0579236045054
"Employes" 3500 "Modeste" 3500 "2eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "51-60" "Personne seule" 1 "Pas d'enfants" "Au moins une personne etrangere" "Pas de vehicule" 1 0.4 0 0 0 4.505 0 0 30 2 0 19.9510802732583
"Professions intermediaires" 8500 "Moyenne Sup" 8500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "21-40" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Pas de vehicule" 1 0 0 0 1.4 1.72 4.895 10.3796603168738 1038 0 1 22.1632383474019
"Autres pers. sans activite prof." 11029.41 "Aise" 18750 "4eme quartile" "2" "6" "Un. urb. de 100 000 hab. et +" "Locataire" "21-40" "Autre menage" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0 1.82 2.51 0 5.12450155814469 512 0 1 19.5664795032883
"Retraites" 19117.65 "Aise" 32500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0.5 1.48 1.476 3.99 4.48 15.521399388697 1552 6 1 22.4069755261192
"Cadres et prof. intellectuelles sup." 23529.41 "Aise" 40000 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 5.22 0.125 11.555 2.875 25.6985113793535 2570 3 1 18.2670540157908
"Professions intermediaires" 11029.41 "Aise" 18750 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "21-40" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Pas de vehicule" 2 2.3 0.4 0.23 0.5 3.85 0.59 7.09246720184836 709 9 1 18.2175499571792
"Retraites" 9558.823 "Moyenne Sup" 16250 "4eme quartile" "2" "0" "Communes rurales" "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0.28 0 7.4 1.225 5.14 5.535 4.11912644677026 412 6 1 17.5432274771783
"Cadres et prof. intellectuelles sup." 19117.65 "Aise" 32500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "21-40" "Couple sans enfant" 2 "Pas d'enfants" "Non declare" "Au - 1 vehicule" 2 0 0 0.48 4.265 4.606 4.279 15.521399388697 1552 3 1 20.7292218283592
"Retraites" 3500 "Modeste" 3500 "2eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "61-96" "Personne seule" 1 "Pas d'enfants" "Non declare" "Pas de vehicule" 1 0 0 0 7.425 9.778 0.6 3.45110082905469 345 0 0 17.1425507057892
"Cadres et prof. intellectuelles sup." 16250 "Aise" 16250 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "41-50" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Pas de vehicule" 1 6.05 0.25 0 0 2.51 0 0 30 4 1 19.9316023763691
"Employes" 11029.41 "Aise" 18750 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "41-50" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Pas de vehicule" 2 0 0 0 1.1 1.55 0 5.85541337543131 586 0 1 18.0903629183897
"Retraites" 7812.5 "Moyenne Sup" 18750 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "51-60" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 0.23 3.815 2.805 0.2 1.08286638798256 108 4 1 14.8850162516835
"Retraites" 13235.29 "Aise" 22500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0 0.425 2.62 0 7.15747797677629 716 0 1 18.2849237413064
"Ouvriers" 4276.316 "Moyenne Inf" 16250 "2eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "51-60" "Autre menage" 5 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 5 0 0 0.92 0.75 0.28 1.15 0.0680929385256678 7 6 0 19.7297929092785
"Artisans, comm., chefs d'ent." 7386.364 "Moyenne Sup" 16250 "3eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "21-40" "Couple avec enfant(s)" 3 "Au - 1 enfant" "Au moins une personne etrangere" "Au - 1 vehicule" 2 0 0 4.67 5.525 5.375 1.21 0.99813369320656 100 4 1 10.9103806250191
"Cadres et prof. intellectuelles sup." 8522.728 "Moyenne Sup" 18750 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "41-50" "Couple avec enfant(s)" 3 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 0 3.995 9.09 0.499 1.23444408991072 123 0 1 10.005974240735
"Cadres et prof. intellectuelles sup." 13235.29 "Aise" 122500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "21-40" "Autre menage" 2 "Pas d'enfants" "Menage francais" "Pas de vehicule" 2 0 0 0.46 4.98 4.915 0.72 8.1783548710139 818 3 1 18.0941104282879
"Employes" 3235.294 "Modeste" 5500 "1er quartile" "1" "8" "Paris + Agglomeration" "Locataire" "51-60" "Autre menage" 2 "Pas d'enfants" "Menage francais" "Pas de vehicule" 2 0 0 0.23 3.1 1.08 0.255 1.17663048068178 118 3 0 17.5147053636303
"Professions intermediaires" 9500 "Moyenne Sup" 9500 "4eme quartile" "7" "7" "Un. urb. de 100 000 hab. et +" "Proprietaire" "21-40" "Personne seule" 1 "Pas d'enfants" "Non declare" "Au - 1 vehicule" 1 0 0 0.23 1.825 0.86 2.75 10.8294013405376 1083 2 1 20.3683641762118
"Retraites" 16250 "Aise" 16250 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "61-96" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Pas de vehicule" 1 0 0 0 0 0 0.8 0 30 0 1 26.6613024727394
"Retraites" 9375 "Moyenne Sup" 22500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "51-60" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 2.66 0.75 13.96 2.225 1.43450444514019 143 4 1 19.3937425824064
"Retraites" 8088.235 "Moyenne Sup" 13750 "4eme quartile" "5" "4" "Un. urb. de 10 000 a 99 999 hab." "Locataire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Pas de vehicule" 2 0 0 0.46 0.3 1.83 0 3.54127620216101 354 3 1 18.1104957493295
"Cadres et prof. intellectuelles sup." 7258.064 "Moyenne Sup" 22500 "3eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "51-60" "Autre menage" 4 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 4 0 0 4.63 0.3 21.08 0.46 0.358130585042603 36 5 1 17.1239250894949
"Professions intermediaires" 13235.29 "Aise" 22500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "21-40" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0.38 2.71 3.4 4.155 2.225 7.15747797677629 716 6 1 22.186287015897
"Employes" 16176.47 "Aise" 27500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "51-60" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0 0.225 6.925 0.225 10.7283712221943 1073 0 1 13.6282457529114
"Employes" 5603.448 "Moyenne Inf" 16250 "3eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "41-50" "Autre menage" 4 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0.46 1.075 13.83 7.818 0.253736082771138 25 5 1 16.1588708766489
"Cadres et prof. intellectuelles sup." 5729.167 "Moyenne Inf" 13750 "3eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "51-60" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0.25 0 0 0 1.4 2.155 0 30 4 1 18.7383216234768
"Professions intermediaires" 9500 "Moyenne Sup" 9500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "41-50" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Pas de vehicule" 1 0.25 0 0 0 0.4 0 0 30 2 1 15.8462191919244
"Professions intermediaires" 13235.29 "Aise" 22500 "4eme quartile" "8" "7" "Un. urb. de 100 000 hab. et +" "Locataire" "21-40" "Couple sans enfant" 2 "Pas d'enfants" "Non declare" "Au - 1 vehicule" 2 0 0 0 0.225 0 1.445 7.15747797677629 716 0 1 18.2147318227502
"Employes" 12500 "Aise" 27500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "41-50" "Couple avec enfant(s)" 3 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0.5 0 0 1.325 12.845 0.39 2.46398501111071 246 4 1 13.4080412434472
"Employes" 5588.235 "Moyenne Inf" 9500 "3eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "21-40" "Couple sans enfant" 2 "Pas d'enfants" "Non declare" "Pas de vehicule" 2 0 0 1.4 0.45 1.525 0 2.13503549765902 214 3 1 21.3774298260222
"Cadres et prof. intellectuelles sup." 8522.728 "Moyenne Sup" 18750 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "21-40" "Couple avec enfant(s)" 3 "Au - 1 enfant" "Menage francais" "Au - 1 vehicule" 2 0 0 1.17 0 14.85 0.62 0 30 4 1 13.1777525422141
"Retraites" 4500 "Moyenne Inf" 4500 "3eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "61-96" "Personne seule" 1 "Pas d'enfants" "Non declare" "Pas de vehicule" 1 0 0 0 0 0.44 0.1 0 30 0 0 19.2133183778517
"Retraites" 9558.823 "Moyenne Sup" 16250 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0 4.5 13.63 3.88 4.02412614337837 402 0 1 15.9053506003373
"Ouvriers" 3819.444 "Moyenne Inf" 13750 "1er quartile" "1" "8" "Paris + Agglomeration" "Locataire" "41-50" "Autre menage" 5 "Pas d'enfants" "Au moins une personne etrangere" "Au - 1 vehicule" 4 0 0 1.15 2.97 10.325 0.425 0.0604093338995379 6 6 0 21.7538606345939
"Employes" 5588.235 "Moyenne Inf" 9500 "3eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "41-50" "Couple sans enfant" 2 "Pas d'enfants" "Non declare" "Pas de vehicule" 2 0.75 0.5 0.52 1.2 0.97 0.545 2.27273345685096 227 9 1 17.1552005517918
"Professions intermediaires" 11250 "Aise" 11250 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "21-40" "Personne seule" 1 "Pas d'enfants" "Non declare" "Au - 1 vehicule" 1 0 0 0.26 0.3 2.275 0.875 14.4236214235058 1442 2 1 19.2068226878587
"Retraites" 6500 "Moyenne Inf" 6500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "61-96" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Pas de vehicule" 1 0 0 0 10.5 8.59 0 7.05746495927491 706 0 1 16.7921500585784
"Autres pers. sans activite prof." 4500 "Moyenne Inf" 4500 "3eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "61-96" "Personne seule" 1 "Pas d'enfants" "Non declare" "Pas de vehicule" 1 0 0 0.46 0.91 4.35 1.03 4.49396166815599 449 2 0 18.5502755245716
"Employes" 5000 "Moyenne Inf" 8500 "3eme quartile" "8" "0" "Communes rurales" "Locataire" "41-50" "Autre menage" 2 "Pas d'enfants" "Non declare" "Au - 1 vehicule" 2 0.3 0 0 0.42 5.33 1.146 1.67423431817812 167 3 1 16.7110087795194
"Professions intermediaires" 8333.333 "Moyenne Sup" 22500 "3eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "21-40" "Couple avec enfant(s)" 4 "Au - 1 enfant" "Non declare" "Au - 1 vehicule" 2 6.32 0 0 2.125 23.81 0.775 0.742971967627153 74 5 1 12.7202060304472
"Retraites" 11250 "Aise" 11250 "4eme quartile" "1" "8" "Paris + Agglomeration" "Proprietaire" "61-96" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 1 0.25 0 3.1 0.83 0.975 0.15 14.7272655133466 1473 4 1 16.7703998112254
"Ouvriers" 5092.593 "Moyenne Inf" 13750 "2eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "21-40" "Couple avec enfant(s)" 4 "Au - 1 enfant" "Au moins une personne etrangere" "Au - 1 vehicule" 2 0 0 0.23 1.896 14.925 0.5 0.225841964217384 23 5 1 12.2364168175142
"Retraites" 11458.33 "Aise" 27500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "61-96" "Autre menage" 3 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 3 0 0 0 0.5 4.3 0 2.01668076664363 202 0 1 16.9671534656078
"Employes" 8088.235 "Moyenne Sup" 13750 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "41-50" "Autre menage" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 3.08 0 0 0 0.35 1.395 0 30 3 1 16.0114861756322
"Retraites" 8088.235 "Moyenne Sup" 13750 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "61-96" "Couple sans enfant" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0 0 0 0 1.04 0.25 0 30 0 1 17.1682621942029
"Professions intermediaires" 10227.27 "Moyenne Sup" 22500 "4eme quartile" "2" "0" "Communes rurales" "Proprietaire" "21-40" "Couple avec enfant(s)" 3 "Au - 1 enfant" "Non declare" "Au - 1 vehicule" 2 0.28 0 0.23 3.585 5.58 0.72 1.69497082707019 169 8 1 11.4041602413841
"Employes" 6617.647 "Moyenne Sup" 11250 "3eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "41-50" "Autre menage" 2 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 2 0.4 0 1.61 3.25 1.25 0 2.40679834649074 241 6 1 17.2078689846214
"Employes" 6048.387 "Moyenne Sup" 18750 "3eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "41-50" "Autre menage" 4 "Pas d'enfants" "Menage francais" "Au - 1 vehicule" 4 0 0.8 0 3.8 28.434 0.835 0.279630147549975 28 5 1 23.4368588331744
"Retraites" 6500 "Moyenne Inf" 6500 "4eme quartile" "1" "8" "Paris + Agglomeration" "Locataire" "61-96" "Personne seule" 1 "Pas d'enfants" "Menage francais" "Pas de vehicule" 1 0 0 0.46 1.5 2.01 0 7.05746495927491 706 2 1 17.5399794742877
